hcp_id,territory_id,region,specialty,potential_score,current_calls_per_quarter,call_gap,priority_decile
HCP00000,T017,West,Cardiology,49.3,2,1.3,5
HCP00001,T011,Midwest,Endocrinology,28.2,1,0.9,2
HCP00002,T001,West,Primary Care,56.7,3,0.8,5
HCP00003,T009,West,Primary Care,56.0,2,1.7,7
HCP00004,T003,West,Primary Care,74.0,6,-1.1,7
HCP00005,T013,Southeast,Primary Care,9.7,0,0.6,1
HCP00006,T015,Southeast,Cardiology,113.6,9,-1.4,10
HCP00007,T014,Southwest,Primary Care,11.5,1,-0.2,1
HCP00008,T007,Midwest,Primary Care,50.9,2,1.4,5
HCP00009,T013,Southeast,Oncology,60.0,6,-2.0,7
HCP00010,T007,Midwest,Primary Care,94.1,5,1.3,9
HCP00011,T015,Southeast,Cardiology,16.5,1,0.1,2
HCP00012,T012,West,Endocrinology,66.6,0,4.4,6
HCP00013,T017,West,Primary Care,56.3,2,1.8,6
HCP00014,T014,Southwest,Cardiology,49.6,3,0.3,7
HCP00015,T012,West,Oncology,95.1,5,1.3,8
HCP00016,T008,Midwest,Oncology,56.0,8,-4.3,5
HCP00017,T014,Southwest,Primary Care,45.9,5,-1.9,6
HCP00018,T012,West,Oncology,109.3,10,-2.7,9
HCP00019,T000,Southwest,Cardiology,43.0,0,2.9,4
HCP00020,T006,Midwest,Primary Care,37.6,3,-0.5,4
HCP00021,T008,Midwest,Cardiology,7.1,0,0.5,1
HCP00022,T000,Southwest,Oncology,59.8,3,1.0,5
HCP00023,T011,Midwest,Cardiology,21.2,3,-1.6,1
HCP00024,T007,Midwest,Primary Care,36.2,2,0.4,3
HCP00025,T010,Southwest,Cardiology,143.0,12,-2.5,10
HCP00026,T018,Northeast,Primary Care,99.9,4,2.7,8
HCP00027,T016,Southwest,Primary Care,34.9,3,-0.7,3
HCP00028,T007,Midwest,Primary Care,14.5,0,1.0,1
HCP00029,T002,Midwest,Primary Care,13.3,0,0.9,2
HCP00030,T002,Midwest,Primary Care,77.9,1,4.2,9
HCP00031,T000,Southwest,Primary Care,35.3,2,0.4,3
HCP00032,T004,West,Cardiology,70.6,2,2.7,6
HCP00033,T009,West,Primary Care,34.7,4,-1.7,4
HCP00034,T006,Midwest,Primary Care,60.2,5,-1.0,8
HCP00035,T008,Midwest,Oncology,81.5,4,1.4,6
HCP00036,T006,Midwest,Cardiology,110.3,5,2.4,10
HCP00037,T008,Midwest,Cardiology,111.4,9,-1.6,9
HCP00038,T007,Midwest,Primary Care,18.0,1,0.2,1
HCP00039,T011,Midwest,Primary Care,53.0,2,1.5,5
HCP00040,T001,West,Primary Care,96.4,9,-2.6,8
HCP00041,T000,Southwest,Primary Care,59.6,2,2.0,5
HCP00042,T015,Southeast,Primary Care,55.0,4,-0.3,6
HCP00043,T004,West,Primary Care,21.7,2,-0.6,2
HCP00044,T002,Midwest,Primary Care,22.0,1,0.5,3
HCP00045,T011,Midwest,Primary Care,41.2,3,-0.3,3
HCP00046,T007,Midwest,Cardiology,39.0,2,0.6,4
HCP00047,T002,Midwest,Primary Care,82.8,1,4.5,9
